target_epsilon,target_delta,beta,do_floor,game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,v_inf,v_1_inf,emp_sample_complexity,emp_simulation_complexity
0.01,0.05,1.1,True,887f2340-7e76-4df2-bb60-fe5de8f00a42,100,2,"['D2', 'D3', 'D5', 'D8', 'D12']","['S3', 'S5', 'C7', 'D10', 'C11']",0.7912847470933644,64.35547353980259,215802,17345652
0.01,0.05,1.1,True,887f2340-7e76-4df2-bb60-fe5de8f00a42,100,3,"['D2', 'D3', 'D5', 'D8', 'D12']","['S3', 'S5', 'C7', 'D10', 'C11']",0.7383462224866151,58.11649081420194,196184,15791193
0.01,0.05,1.1,True,28378c33-5e53-4f79-ae78-6749fdba16f0,100,2,"['C2', 'H4', 'C7', 'D10', 'C13']","['C3', 'H8', 'S10', 'S13', 'H14']",0.8785344000776991,67.7750906827137,237383,18332909
0.01,0.05,1.1,True,28378c33-5e53-4f79-ae78-6749fdba16f0,100,3,"['C2', 'H4', 'C7', 'D10', 'C13']","['C3', 'H8', 'S10', 'S13', 'H14']",0.8464531559203098,65.29601140902524,237383,17725710
0.01,0.05,1.1,True,5a4378d9-24a2-4271-9132-f92ee048e8a0,100,2,"['D2', 'C10', 'C11', 'C13', 'C14']","['H4', 'C6', 'D9', 'H11', 'D11']",0.8862071895980284,66.56553368918452,237383,17943134
0.01,0.05,1.1,True,5a4378d9-24a2-4271-9132-f92ee048e8a0,100,3,"['D2', 'C10', 'C11', 'C13', 'C14']","['H4', 'C6', 'D9', 'H11', 'D11']",0.9264210746761524,63.83614034102634,237383,17292890
0.01,0.05,1.1,True,2f1e8427-7c02-4338-b5a6-d69d3765a030,100,2,"['C2', 'C4', 'C6', 'D6', 'H13']","['S2', 'D2', 'H5', 'S7', 'H14']",0.85751786338172,68.01121781252651,237383,18346975
0.01,0.05,1.1,True,2f1e8427-7c02-4338-b5a6-d69d3765a030,100,3,"['C2', 'C4', 'C6', 'D6', 'H13']","['S2', 'D2', 'H5', 'S7', 'H14']",0.9021282202649056,61.149515419939526,237383,16546628
0.01,0.05,1.1,True,9e469816-7da4-49a3-905f-07ec9faef81f,100,2,"['S2', 'H7', 'C7', 'D8', 'S12']","['C2', 'S8', 'S10', 'H13', 'D14']",0.9203462467675946,65.99586683771273,237383,17715334
0.01,0.05,1.1,True,9e469816-7da4-49a3-905f-07ec9faef81f,100,3,"['S2', 'H7', 'C7', 'D8', 'S12']","['C2', 'S8', 'S10', 'H13', 'D14']",0.9007859753062438,61.825600096820416,237383,16790092
0.01,0.05,1.1,True,d7962a02-c746-495c-8b37-5555d8c5fc17,100,2,"['H3', 'S9', 'C10', 'H13', 'D13']","['C5', 'H6', 'D9', 'D12', 'D14']",0.8476975561194139,63.40728240532781,237383,17068453
0.01,0.05,1.1,True,d7962a02-c746-495c-8b37-5555d8c5fc17,100,3,"['H3', 'S9', 'C10', 'H13', 'D13']","['C5', 'H6', 'D9', 'D12', 'D14']",0.8156589250810378,67.48434677336134,215802,18276179
0.01,0.05,1.1,True,b4ce8f36-492d-4e9d-9185-5f126e9491bf,100,2,"['C3', 'S6', 'H9', 'S10', 'S11']","['D2', 'S3', 'C9', 'H11', 'D11']",0.672170355352135,32.295629019007976,178349,9082636
0.01,0.05,1.1,True,b4ce8f36-492d-4e9d-9185-5f126e9491bf,100,3,"['C3', 'S6', 'H9', 'S10', 'S11']","['D2', 'S3', 'C9', 'H11', 'D11']",0.6319154050674404,40.50750156308806,178349,11170061
0.01,0.05,1.1,True,c061c40c-55dc-4673-bf14-a9c10b5c97e6,100,2,"['C6', 'S9', 'D9', 'C13', 'D14']","['H4', 'H7', 'H8', 'S8', 'H14']",0.8952154329905668,56.411786527024056,237383,15413501
0.01,0.05,1.1,True,c061c40c-55dc-4673-bf14-a9c10b5c97e6,100,3,"['C6', 'S9', 'D9', 'C13', 'D14']","['H4', 'H7', 'H8', 'S8', 'H14']",0.8608884334519055,63.292920349281886,237383,17129255
0.01,0.05,1.1,True,ee50b7a2-23db-4973-9dd3-526c2fe919a3,100,2,"['C3', 'H4', 'D5', 'C8', 'H12']","['S3', 'D3', 'S6', 'H7', 'D14']",0.9163641661304616,76.77746617187432,237383,20525866
0.01,0.05,1.1,True,ee50b7a2-23db-4973-9dd3-526c2fe919a3,100,3,"['C3', 'H4', 'D5', 'C8', 'H12']","['S3', 'D3', 'S6', 'H7', 'D14']",0.9119751059257732,65.62390803123748,237383,17571801
0.01,0.05,1.1,True,6d2a8655-5e77-49c1-8864-a6b92dd9d069,100,2,"['D4', 'H5', 'H6', 'S13', 'C14']","['S2', 'D3', 'D11', 'H12', 'S12']",0.8505492222667373,72.69395309184544,237383,19576507
